Order,Family,Genus,Species,phylo,Segmented.neutrophils,Database,count_type,Notes,
Cetartiodactyla,Bovidae,Taurotragus,derbianus,Taurotragus_derbianus,5.71,,,retained,
Carnivora,Mustelidae,Taxidea,taxus,Taxidea_taxus,5.481,Basic_stats,calculated,new,
Primates,Cercopithecidae,Theropithecus,gelada,Theropithecus_gelada,4.95,Global_sp_RI,automated,replaced_Downs,
Cingulata,Chlamyphoridae,Tolypeutes,matacus,Tolypeutes_matacus,2.2,Global_sp_RI,automated,new,
Primates,Cercopithecidae,Trachypithecus,auratus,Trachypithecus_auratus,3.282,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Trachypithecus,cristatus,Trachypithecus_cristatus,2.74,Global_sp_RI,automated,new,
Primates,Cercopithecidae,Trachypithecus,francoisi,Trachypithecus_francoisi,4.63,Global_sp_RI,automated,new,
Primates,Cercopithecidae,Trachypithecus,obscurus,Trachypithecus_obscurus,4.405,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Tragelaphus,angasii,Tragelaphus_angasii,3.12,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Tragelaphus,derbianus,Tragelaphus_derbianus,5.172,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Tragelaphus,eurycerus,Tragelaphus_eurycerus,2.93,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Tragelaphus,imberbis,Tragelaphus_imberbis,2.65,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Tragelaphus,oryx,Tragelaphus_oryx,3.55,Global_sp_RI,automated,retained,
Cetartiodactyla,Bovidae,Tragelaphus,scriptus,Tragelaphus_scriptus,2.47,,,retained,
Cetartiodactyla,Bovidae,Tragelaphus,spekii,Tragelaphus_spekii,3.433,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Tragelaphus,strepsiceros,Tragelaphus_strepsiceros,3.13,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Tragulidae,Tragulus,napu,Tragulus_napu,3.84,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Ursidae,Tremarctos,ornatus,Tremarctos_ornatus,4.73,Global_sp_RI,automated,replaced_Downs,
Sirenia,Trichechidae,Trichechus,manatus,Trichechus_manatus,3.21,Global_sp_RI,automated,replaced_Downs,
Sirenia,Trichechidae,Trichechus,vulpecula,Trichechus_vulpecula,3.748,Basic_stats,calculated,new,
Scandentia,Tupaiidae,Tupaia,belangeri,Tupaia_belangeri,0.572,Global_sp_RI,calculated,new,
Scandentia,Tupaiidae,Tupaia,glis,Tupaia_glis,0.756,Basic_stats,calculated,new,
Scandentia,Tupaiidae,Tupaia,tana,Tupaia_tana,1.472,Basic_stats,calculated,new,
Cetartiodactyla,Delphinidae,Tursiops,truncatus,Tursiops_truncatus,4.94,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Urocyon,cinereoargenteus,Urocyon_cinereoargenteus,3.592,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Canidae,Urocyon,littoralis,Urocyon_littoralis,4.183,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Ursidae,Ursus,americanus,Ursus_americanus,4.52,Global_sp_RI,automated,replaced_Downs,
Carnivora,Ursidae,Ursus,arctos,Ursus_arctos,5.77,Global_sp_RI,automated,replaced_Downs,
Carnivora,Ursidae,Ursus,maritimus,Ursus_maritimus,5.9,Global_sp_RI,automated,replaced_Downs,
Carnivora,Ursidae,Ursus,thibetanus,Ursus_thibetanus,4.5,Global_sp_RI,calculated,replaced_Downs,
Primates,Lemuridae,Varecia,variegata,Varecia_variegata,3.58,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Camelidae,Vicunga,pacos,Vicunga_pacos,7.11,Global_sp_RI,automated,new,
Cetartiodactyla,Camelidae,Vicunga,vicunga,Vicunga_vicunga,4.67,Basic_stats,automated,new,
Diprotodontia,Vombatidae,Vombatus,ursinus,Vombatus_ursinus,3.295,Global_sp_RI,calculated,new,
Carnivora,Canidae,Vulpes,lagopus,Vulpes_lagopus,2.82,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Vulpes,macrotis,Vulpes_macrotis,1.448,Global_sp_RI,calculated,new,
Carnivora,Canidae,Vulpes,velox,Vulpes_velox,1.63,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Vulpes,vulpes,Vulpes_vulpes,2.27,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Vulpes,zerda,Vulpes_zerda,2.05,Global_sp_RI,automated,replaced_Downs,
Diprotodontia,Macropodidae,Wallabia,bicolor,Wallabia_bicolor,1.98,Basic_stats,calculated,new,
Carnivora,Otariidae,Zalophus,californianus,Zalophus_californianus,2.61,Global_sp_RI,automated,replaced_Downs,
